plane,car,bird,cat,deer,dog,frog,horse,ship,truck,total
91.66666666666667,84.61538461538461,55.55555555555556,41.1764705882353,86.66666666666667,70.58823529411765,76.47058823529412,70.0,88.88888888888889,90.0,75.625,
91.66666666666667,100.0,66.66666666666667,46.666666666666664,80.0,41.666666666666664,100.0,90.0,84.61538461538461,80.0,78.125,
85.71428571428571,94.73684210526316,100.0,86.66666666666667,91.66666666666667,75.0,84.61538461538461,86.66666666666667,75.0,100.0,86.25,
92.3076923076923,83.33333333333333,80.0,68.18181818181819,75.0,73.6842105263158,92.85714285714286,87.5,90.9090909090909,94.73684210526316,83.125,
77.77777777777777,96.0,60.0,70.58823529411765,83.33333333333333,73.33333333333333,93.75,76.47058823529412,100.0,85.71428571428571,82.5,
88.88888888888889,88.23529411764706,65.21739130434783,88.88888888888889,84.61538461538461,78.57142857142857,90.0,84.0,90.0,100.0,84.375,
38.095238095238095,85.71428571428571,21.73913043478261,40.0,30.76923076923077,29.41176470588235,90.0,47.61904761904762,76.47058823529412,50.0,48.125,
52.94117647058823,86.95652173913044,61.53846153846154,50.0,38.46153846153846,64.70588235294117,78.94736842105263,88.23529411764706,77.77777777777777,66.66666666666667,68.125,
82.3529411764706,100.0,58.8235294117647,40.0,66.66666666666667,44.44444444444444,66.66666666666667,85.71428571428571,71.42857142857143,53.84615384615385,66.25,
66.66666666666667,94.44444444444444,55.0,76.47058823529412,72.72727272727273,43.47826086956522,58.333333333333336,93.33333333333333,81.25,80.0,70.625,
79.16666666666667,83.33333333333333,50.0,42.10526315789474,68.42105263157895,68.75,77.77777777777777,76.47058823529412,100.0,90.9090909090909,73.125,
81.25,90.9090909090909,68.75,63.63636363636363,66.66666666666667,46.666666666666664,95.83333333333333,89.47368421052632,82.3529411764706,62.5,76.25,
82.3529411764706,100.0,75.0,35.294117647058826,73.33333333333333,60.0,81.25,73.6842105263158,73.91304347826087,75.0,72.5,
64.0,100.0,81.81818181818181,61.53846153846154,80.0,20.0,88.23529411764706,76.92307692307692,88.23529411764706,72.22222222222223,75.0,
89.47368421052632,92.3076923076923,87.5,75.0,78.26086956521739,71.42857142857143,100.0,88.23529411764706,81.25,100.0,85.625,
84.61538461538461,87.5,77.27272727272727,78.57142857142857,80.0,91.66666666666667,83.33333333333333,77.27272727272727,86.66666666666667,94.44444444444444,83.75,
81.25,92.3076923076923,86.66666666666667,80.95238095238095,88.23529411764706,73.33333333333333,100.0,78.57142857142857,95.45454545454545,76.92307692307692,85.625,
90.9090909090909,78.57142857142857,80.0,70.37037037037037,92.85714285714286,94.44444444444444,93.75,72.72727272727273,92.3076923076923,93.75,85.0,
85.18518518518519,76.92307692307692,68.18181818181819,50.0,86.66666666666667,80.0,68.42105263157895,92.3076923076923,88.23529411764706,100.0,78.125,
94.11764705882354,92.85714285714286,93.33333333333333,88.23529411764706,71.42857142857143,70.83333333333333,80.0,93.75,93.75,94.11764705882354,86.875,
68.75,94.73684210526316,58.333333333333336,92.3076923076923,73.6842105263158,85.0,93.75,100.0,91.66666666666667,100.0,86.25,
90.0,87.5,76.47058823529412,87.5,88.88888888888889,84.61538461538461,84.61538461538461,70.58823529411765,100.0,92.85714285714286,86.25,
91.66666666666667,90.0,76.92307692307692,66.66666666666667,69.23076923076923,80.0,80.76923076923077,90.9090909090909,86.95652173913044,100.0,83.125,
81.81818181818181,83.33333333333333,83.33333333333333,80.0,85.0,68.42105263157895,92.3076923076923,90.9090909090909,100.0,80.0,83.75,
92.85714285714286,100.0,76.47058823529412,76.19047619047619,100.0,79.16666666666667,100.0,80.0,93.33333333333333,90.0,88.125,
86.66666666666667,85.0,68.75,85.71428571428571,90.0,84.21052631578948,93.33333333333333,100.0,77.77777777777777,76.47058823529412,84.375,
